"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"100210","100210","Stollenweg","50.7822619","6.1557408","","","0","","Europe/Berlin","0"
"215972","215972","Brockenberg","50.7539369","6.22667","","","0","","Europe/Berlin","0"
"100551","100551","Barbarossaplatz","50.7643005","6.0751172","","","0","","Europe/Berlin","0"
"100381","100381","Erberichshofstraße","50.7578775","6.1724391","","","0","","Europe/Berlin","0"
"210711","210711","Mühlenbachstraße","50.8395522","6.0708663","","","0","","Europe/Berlin","0"
"100901","100901","Steinebrück","50.7434749","6.1735477","","","0","","Europe/Berlin","0"
"210735","210735","Kohlscheid Markt","50.8346844","6.0902494","","","0","","Europe/Berlin","0"
"213401","213401","Aachener Straße","50.8227575","6.2449847","","","0","","Europe/Berlin","0"
"213313","213313","Kreisaltenheim","50.8161047","6.2537613","","","0","","Europe/Berlin","0"
"100000","100000","Aachen Bushof","50.7775936","6.0908191","","","0","","Europe/Berlin","0"
"100209","100209","Hansmannstraße","50.7845138","6.1547805","","","0","","Europe/Berlin","0"
"100624","100624","Melatener Straße","50.7766972","6.0588186","","","0","","Europe/Berlin","0"
"215713","215713","Hastenrather Str.","50.771333","6.2477488","","","0","","Europe/Berlin","0"
"213231","213231","St. Johannes","50.8198466","6.3218402","","","0","","Europe/Berlin","0"
"213121","213121","Dürwiß Schule","50.8358633","6.2753688","","","0","","Europe/Berlin","0"
"213012","213012","Peter-Paul-Straße","50.8222666","6.2678444","","","0","","Europe/Berlin","0"
"100749","100749","Lütterbüschgen","50.8183761","6.0487825","","","0","","Europe/Berlin","0"
"380014","380014","Forsths. Bovenberg","50.7919444","6.3150277","","","0","","Europe/Berlin","0"
"709203","709203","Dr. Ackensplein","50.8512044","6.0669647","","","0","","Europe/Berlin","0"
"415041","415041","Rimburger Acker","50.9203319","6.1020488","","","0","","Europe/Berlin","0"
"100376","100376","Gut Weide","50.7636963","6.1509166","","","0","","Europe/Berlin","0"
"210543","210543","Auf dem Kick","50.8630266","6.1018805","","","0","","Europe/Berlin","0"
"100544","100544","Bildchen Grenze","50.7265022","6.0338436","","","0","","Europe/Berlin","0"
"215853","215853","Poststraße","50.7716588","6.3003155","","","0","","Europe/Berlin","0"
"100410","100410","Fuchserde","50.75087","6.1097688","","","0","","Europe/Berlin","0"
"100703","100703","Wildbach","50.7934672","6.0664277","","","0","","Europe/Berlin","0"
"100602","100602","Kuckelkorn","50.7700072","6.0626944","","","0","","Europe/Berlin","0"
"215811","215811","Vicht Kirche","50.7430805","6.2637502","","","0","","Europe/Berlin","0"
"100435","100435","Beverau","50.7593802","6.112425","","","0","","Europe/Berlin","0"
"213108","213108","Dürwiß","50.8351952","6.2784655","","","0","","Europe/Berlin","0"
"210705","210705","Technologiepark","50.8283988","6.0810825","","","0","","Europe/Berlin","0"
"215849","215849","Quellstraße","50.7687672","6.3095391","","","0","","Europe/Berlin","0"
